Numeric counter for order in THOMAS data from 93rd - 110th Congresses,"Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Second-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,"1 = subcommittee chair (or vice chair), according to Almanac of American Politic",1 = African American,1 = Latino/a,votepct squared,"1 = Member of Appropriation, Rules, or Ways and Means","1 = committee chair, according to Almanac of American Politics",1 = served in state legislature,state_leg * state legislature professionalism,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Absolute distance from floor median (DW-NOMINATE),Absolute distance from majority party median (DW-NOMINATE),"Dummy = 1 if in first partial or full term, nonconsecutive","Seniority, number of terms served counting current",Number of members in Party (0 = Indep),LES Classic Rank within Party,"100=Dem, 200=Rep, Other",Name in bioguide,Indicator for member in bioguide,Year born,"Year died, as of 2020",Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number of commemorative standalone bills receiving action beyond committee,Number of commemorative standalone bills passing House,Number of commemorative standalone bills becoming law,Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number of substantive standalone bills receiving action beyond committee,Number of substantive standalone bills passing House,Number of substantive standalone bills becoming law,Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number of substantive and significant standalone bills receiving action beyond c,Number of substantive and significant standalone bills passing House,Number of substantive and significant standalone bills becoming law,LES 1.0,Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number commem bills with action beyond committee (inc in other leg vehicles),Number commemorative bills passing House (inc in other leg vehicles),Number commemorative bills becoming law (inc in other leg vehicles),Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number substantive bills with action beyond committee (inc in other leg vehicles,Number substantive bills passing House (inc in other leg vehicles),Number substantive bills becoming law (inc in other leg vehicles),Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number S&S bills with action beyond committee (inc in other leg vehicles),Number S&S bills passing House (inc in other leg vehicles),Number S&S bills becoming law (inc in other leg vehicles),LES 2.0,LES 2.0 Benchmarks,LES2.0/Benchmark2.0,"1 = Below, 2 = Meets, 3 = Exceeds LES 2.0 Benchmarks",Total number of bills sponsored by this member,Total bills passing House (inc in other leg vehicles),Total number of bills receiving action in committee,Total bills receiving action beyond committee (inc in other leg vehicles),Total bills becoming law (inc in other leg vehicles),Total number of bills sponsored by this member,Total number of standalone bills passing House,Total number of bills receiving action in committee,Total number of standalone bills receiving action beyond committee,Total number of standalone bills becoming law,"Benchmark score (Classic) based on majority, seniority, chairs",LES/benchmark (Classic),"1 = Below, 2 = Meets, 3 = Above, Based on Classic LES",Lagged LES 1.0,Lagged LES 2.0,LES 2.0 Rank within Party
8886,"Upton, Fred",15446,112,2011,MI,6,0,1986,0,62,0,0,15,0,0,0,0,3844,0,1,0,0,1,0,0,0,0,0,13,245,23,200,"UPTON, Frederick Stephen",U000031,1953,,1,0,0,0,0,4,3,4,3,1,2,2,2,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,6,1,5,1,2,0,,
8887,"Van Hollen, Chris",20330,112,2011,MD,8,1,2002,0,73,0,0,8,0,0,0,0,5329,0,0,1,0,0,0,0,1,1,0,5,204,158,100,"VAN HOLLEN, Christopher",V000128,1959,,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,0,1,2,,
8888,"Velazquez, Nydia",29378,112,2011,NY,12,1,1992,1,94,-1,0,29,0,0,0,1,8836,0,0,0,0,0,0,0,1,1,0,10,204,87,100,"VELÃZQUEZ, Nydia M.",V000081,1953,,0,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14,0,1,1,0,1,1,2,3,,
8889,"Visclosky, Peter",15124,112,2011,IN,1,1,1984,0,59,0,0,9,0,0,0,0,3481,1,0,0,0,0,0,0,1,1,0,14,204,192,100,"VISCLOSKY, Peter",V000108,1949,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,1,0,1,0,,
8890,"Walberg, Tim",20725,112,2011,MI,7,0,2010,0,50,1,0,15,0,1,0,0,2500,0,0,1,1,1,0,0,0,0,1,1,245,168,200,"WALBERG, Tim",W000798,1951,,0,0,0,0,0,13,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13,1,0,1,0,1,0,1,,,
8891,"Walden, Greg",29932,112,2011,OR,2,0,1998,0,74,0,0,5,0,1,0,0,5476,0,0,1,0,1,0,0,0,0,0,7,245,120,200,"WALDEN, Greg",W000791,1957,,0,0,0,0,0,5,2,2,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,0,1,1,2,0,,
8892,"Walsh, Joe",21126,112,2011,IL,8,0,2010,0,48,1,-1,18,0,1,0,0,2304,0,0,0,0,1,0,0,0,0,1,1,245,99,200,"WALSH, Joe",W000811,1961,,0,0,0,0,0,13,2,3,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,13,2,2,3,0,1,1,2,,,
8893,"Walz, Timothy",20726,112,2011,MN,1,1,2006,0,49,0,0,8,0,0,0,0,2401,0,0,0,0,0,0,0,1,1,0,3,204,10,100,"WALZ, Tim",W000799,1964,,0,0,0,0,0,13,4,2,2,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,13,2,4,2,1,0,4,3,1,,
8894,"Wasserman Schultz, Debbie",20504,112,2011,FL,20,1,2004,1,60,0,0,25,0,0,0,0,3600,0,0,1,0,0,0,1,1,1,0,4,204,69,100,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,1,0,1,1,0,4,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,2,0,0,1,2,2,,
8895,"Waters, Maxine",29106,112,2011,CA,35,1,1990,1,79,-1,0,53,0,0,1,0,6241,0,0,1,1,0,0,1,1,1,0,11,204,50,100,"WATERS, Maxine",W000187,1938,,0,0,0,0,0,23,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,23,1,1,1,0,1,1,2,4,,
8896,"Watt, Melvin",29383,112,2011,NC,12,1,1992,0,64,-1,0,13,0,0,1,0,4096,0,0,1,0,0,0,0,1,1,0,10,204,43,100,"WATT, Melvin L.",W000207,1945,,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,57,0,0,0,0,1,1,2,1,,
8897,"Waxman, Henry",14280,112,2011,CA,30,1,1974,0,65,0,0,53,0,0,0,0,4225,0,0,1,1,0,0,0,1,1,0,19,204,173,100,"WAXMAN, Henry Arnold",W000215,1939,,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,1,0,1,4,,
8898,"Webster, Daniel",21116,112,2011,FL,8,0,2010,0,56,1,0,25,0,0,0,0,3136,1,0,1,0,1,0,0,0,0,1,1,245,240,200,"WEBSTER, Daniel A.",W000806,1949,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,1,,,
8899,"Weiner, Anthony",29926,112,2011,NY,9,1,2006,0,65,0,0,29,0,0,0,0,4225,0,0,0,0,0,0,1,1,1,0,7,204,161,100,"WEINER, Anthony D.",W000792,1964,,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,0,1,2,,
8900,"Welch, Peter",20750,112,2011,VT,1,1,2006,0,61,0,0,1,0,0,0,0,3721,0,0,1,0,0,0,0,1,1,0,3,204,103,100,"WELCH, Peter",W000800,1947,,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,0,0,1,2,2,,
8901,"West, Allen",21119,112,2011,FL,22,0,2010,0,54,0,0,25,0,0,1,0,2916,0,0,0,0,1,0,0,0,0,1,1,245,135,200,"WEST, Allen",W000807,1961,,0,0,0,0,0,8,0,2,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,2,0,1,1,2,,,
8902,"Westmoreland, Lynn",20506,112,2011,GA,3,0,2004,0,69,1,0,13,0,1,0,0,4761,0,0,1,0,1,0,0,0,0,0,4,245,114,200,"WESTMORELAND, Lynn A.",W000796,1950,,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,1,1,2,0,,
8903,"Wilson, Frederica",21118,112,2011,FL,17,1,2010,1,86,0,0,25,0,0,1,0,7396,0,0,1,0,0,0,0,1,1,1,1,204,157,100,"WILSON, Frederica",W000808,1942,,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,0,1,,,
8904,"Whitfield, Ed",29525,112,2011,KY,1,0,1994,0,71,0,0,6,0,1,0,0,5041,0,0,1,0,1,0,0,0,0,0,9,245,119,200,"WHITFIELD, Wayne Edward (Ed)",W000413,1943,,0,0,0,0,0,14,2,0,0,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,15,0,3,1,0,1,1,2,0,,
8905,"Wilson, Joe",20138,112,2011,SC,2,0,2001,0,53,1,0,6,0,1,0,0,2809,0,0,1,0,1,0,0,0,0,0,6,245,180,200,"WILSON, Addison Graves (Joe)",W000795,1947,,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,0,1,0,1,0,,
8906,"Wittman, Robert",20756,112,2011,VA,1,0,2007,0,64,0,0,11,0,1,0,0,4096,0,0,1,0,1,0,0,0,0,0,3,245,97,200,"WITTMAN, Robert J.",W000804,1959,,0,0,0,0,0,7,5,3,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,7,1,5,3,0,1,1,2,1,,
8907,"Wolf, Frank",14869,112,2011,VA,10,0,1980,0,63,0,0,11,0,1,0,0,3969,1,0,0,0,1,0,0,0,0,0,16,245,39,200,"WOLF, Frank Rudolph",W000672,1939,,0,0,0,0,0,13,0,2,2,1,2,2,2,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,15,3,2,4,1,2,2,3,0,,
8908,"Womack, Steve",21108,112,2011,AR,3,0,2010,0,72,0,1,4,0,0,0,0,5184,1,0,0,0,1,0,0,0,0,1,1,245,91,200,"WOMACK, Steve",W000809,1957,,0,0,0,0,0,5,1,2,2,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,2,1,1,1,2,,,
8909,"Woodall, Rob",21122,112,2011,GA,7,0,2010,0,67,1,0,13,0,0,0,0,4489,1,0,0,0,1,0,0,0,0,1,1,245,163,200,"WOODALL, Rob",W000810,1970,,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,0,1,1,2,,,
8910,"Woolsey, Lynn",29309,112,2011,CA,6,1,1992,1,66,-1,-1,53,0,0,0,0,4356,0,0,0,0,0,0,0,1,1,0,10,204,97,100,"WOOLSEY, Lynn C.",W000738,1937,,1,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14,1,1,1,1,1,1,2,1,,
8911,"Wu, David",29931,112,2011,OR,1,1,1998,0,55,0,0,5,0,0,0,0,3025,0,0,0,0,0,0,0,1,1,0,7,204,190,100,"WU, David",W000793,1955,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,1,1,,
8912,"Yarmuth, John",20723,112,2011,KY,3,1,2006,0,55,0,0,4,0,0,0,0,3025,0,0,0,0,0,0,0,1,1,0,3,204,175,100,"YARMUTH, John",Y000062,1947,,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,1,0,,
8913,"Yoder, Kevin",21135,112,2011,KS,3,0,2010,0,58,1,0,4,0,0,0,0,3364,1,0,1,0,1,0,0,0,0,1,1,245,236,200,"YODER, Kevin",Y000063,1976,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,1,0,1,,,
8914,"Young, C.",13047,112,2011,FL,10,0,1970,0,66,0,0,25,0,1,0,0,4356,1,0,1,0,1,0,0,0,0,0,21,245,57,200,"YOUNG, Charles William (Bill)",Y000031,1930,2013,0,0,0,0,0,4,0,0,0,0,2,2,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,2,0,2,1,2,0,,
8915,"Young, Don",14066,112,2011,AK,1,0,1973,0,69,0,0,1,0,1,0,0,4761,0,0,1,0,1,0,0,0,0,0,20,245,15,200,"YOUNG, Donald Edwin",Y000033,1933,,2,1,1,1,1,62,12,7,3,1,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,64,4,13,8,2,2,2,3,2,,
8916,"Young, Todd",21133,112,2011,IN,9,0,2010,0,52,0,0,9,0,0,0,0,2704,0,0,0,0,1,0,0,0,0,1,1,245,201,200,"YOUNG, Todd",Y000064,1972,,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,1,0,1,,,
8917,"Adams, Alma",21545,113,2013,NC,12,1,2012,1,75,0,0,13,0,0,1,0,5625,0,0,1,0,0,0,0,1,1,1,1,210,210,100,"ADAMS, Alma",A000370,1946,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,
8918,"Aderholt, Robert",29701,113,2013,AL,4,0,1996,0,74,0,1,7,0,1,0,0,5476,1,0,0,0,1,0,0,0,0,0,9,240,133,200,"ADERHOLT, Robert",A000055,1965,,0,0,0,0,0,3,0,0,0,0,2,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,2,0,2,1,2,4,,
8919,"Alexander, Rodney",90327,113,2013,LA,5,0,2002,0,79,0,0,6,0,1,0,0,6241,1,0,1,0,1,0,0,0,0,0,6,240,166,200,"ALEXANDER, Rodney",A000361,1946,,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,0,2,0,1,0,,
8920,"Amash, Justin",21143,113,2013,MI,3,0,2010,0,53,1,-1,14,0,0,0,0,2809,0,0,1,1,1,0,0,0,0,0,2,240,221,200,"AMASH, Justin",A000367,1980,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,1,0,1,0,,
8921,"Amodei, Mark",21196,113,2013,NV,2,0,2011,0,58,0,0,4,0,0,0,0,3364,1,0,1,0,1,0,0,0,0,0,2,240,22,200,"AMODEI, Mark E.",A000369,1958,,0,0,0,0,0,17,11,7,4,1,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,17,4,11,7,1,1,3,3,1,,
8922,"Andrews, Robert",29132,113,2013,NJ,1,1,1990,0,68,0,0,12,0,0,0,0,4624,0,0,0,0,0,0,1,1,1,0,12,210,186,100,"ANDREWS, Robert Ernest",A000210,1957,,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,1,0,1,0,,
8923,"Bachmann, Michele",20728,113,2013,MN,6,0,2006,1,51,1,0,8,0,0,0,0,2601,0,0,1,0,1,0,0,0,0,0,4,240,139,200,"BACHMANN, Michele",B001256,1956,,1,1,1,1,1,8,0,0,0,0,2,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,11,2,1,2,1,1,1,2,0,,
8924,"Bachus, Spencer",29301,113,2013,AL,6,0,1992,0,71,0,0,7,0,0,0,0,5041,0,0,1,0,1,0,0,0,0,0,11,240,124,200,"BACHUS, Spencer T., III",B000013,1947,,0,0,0,0,0,4,2,2,1,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,3,0,1,1,2,1,,
8925,"Barber, Ron",21199,113,2013,AZ,2,1,2012,0,50,0,0,9,0,0,0,0,2500,0,0,0,0,0,0,0,0,1,0,2,210,111,100,"BARBER, Ron",B001279,1945,,2,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14,0,1,0,0,0,1,2,0,,
8926,"Barletta, Lou",21171,113,2013,PA,11,0,2010,0,59,0,0,18,0,1,0,0,3481,0,0,0,0,1,0,0,0,0,0,2,240,43,200,"BARLETTA, Lou",B001269,1956,,0,0,0,0,0,11,2,2,1,0,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,12,2,3,3,1,1,2,3,1,,
8927,"Barr, Andy",21333,113,2013,KY,6,0,2012,0,51,0,0,6,0,0,0,0,2601,0,0,0,0,1,0,0,0,0,1,1,240,95,200,"BARR, Garland H. (Andy) IV",B001282,1973,,0,0,0,0,0,15,3,4,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,15,3,3,4,0,1,1,2,,,
8928,"Barrow, John",20507,113,2013,GA,12,1,2004,0,54,0,0,14,0,0,0,0,2916,0,0,0,0,0,0,0,0,1,0,5,210,151,100,"BARROW, John",B001252,1955,,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,0,1,0,,
8929,"Barton, Joe",15085,113,2013,TX,6,0,1984,0,58,1,0,36,0,0,0,0,3364,0,0,0,0,1,0,0,0,0,0,15,240,227,200,"BARTON, Joe Linus",B000213,1949,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,1,0,1,0,,
8930,"Bass, Karen",21110,113,2013,CA,37,1,2010,1,86,-1,0,53,0,0,1,0,7396,0,0,1,1,0,0,0,1,1,0,2,210,89,100,"BASS, Karen",B001270,1953,,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12,1,0,1,0,0,1,2,0,,
8931,"Beatty, Joyce",21352,113,2013,OH,3,1,2012,1,68,0,0,16,0,0,1,0,4624,0,0,1,0,0,0,0,1,1,1,1,210,91,100,"BEATTY, Joyce",B001281,1950,,1,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12,1,0,1,0,0,1,2,,,
8932,"Becerra, Xavier",29316,113,2013,CA,34,1,1992,0,86,-1,0,53,0,0,0,1,7396,1,0,1,1,0,0,1,1,1,0,11,210,205,100,"BECERRA, Xavier",B000287,1958,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,1,0,,
8933,"Benishek, Dan",21141,113,2013,MI,1,0,2010,0,48,0,0,14,0,1,0,0,2304,0,0,0,0,1,0,0,0,0,0,2,240,57,200,"BENISHEK, Dan",B001271,1952,,1,1,1,1,1,14,5,4,2,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,15,3,6,5,2,1,1,2,1,,
8934,"Bentivolio, Kerry",21336,113,2013,MI,11,0,2012,0,51,1,0,14,0,0,0,0,2601,0,0,0,0,1,0,0,0,0,1,1,240,160,200,"BENTIVOLIO, Kerry",B001280,1951,,0,0,0,0,0,13,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,13,1,1,1,0,1,1,2,,,
8935,"Bera, Ami",21304,113,2013,CA,7,1,2012,1,51,0,0,53,0,0,0,0,2601,0,0,0,0,0,0,0,0,1,1,1,210,190,100,"BERA, Ami",B001287,1965,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,1,,,
8936,"Bilirakis, Gus",20758,113,2013,FL,12,0,2006,0,64,0,0,27,0,0,0,0,4096,0,0,1,0,1,0,0,0,0,0,4,240,93,200,"BILIRAKIS, Gus",B001257,1963,,0,0,0,0,0,25,4,3,2,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,25,2,4,3,0,1,1,2,2,,
8937,"Bishop, Timothy",20338,113,2013,NY,1,1,2002,0,52,0,0,27,0,0,0,0,2704,0,0,0,0,0,0,0,1,1,0,6,210,117,100,"BISHOP, Timothy H.",B001242,1950,,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,0,1,1,2,1,,
8938,"Bishop, Sanford",29339,113,2013,GA,2,1,1992,0,64,0,0,14,0,1,1,0,4096,1,0,1,0,0,0,0,1,1,0,11,210,199,100,"BISHOP, Sanford Dixon, Jr.",B000490,1947,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,1,0,1,0,,
8939,"Bishop, Rob",20357,113,2013,UT,1,0,2002,0,72,1,0,4,0,0,0,0,5184,1,0,1,0,1,0,0,0,0,0,6,240,21,200,"BISHOP, Robert (Rob)",B001250,1951,,0,0,0,0,0,15,11,9,3,1,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,15,3,11,9,1,1,3,3,3,,
8940,"Black, Diane",21180,113,2013,TN,6,0,2010,1,77,1,0,9,0,0,0,0,5929,1,0,1,0,1,0,0,0,0,0,2,240,42,200,"BLACK, Diane",B001273,1951,,0,0,0,0,0,26,2,2,1,0,1,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,27,2,2,3,1,1,2,3,1,,
8941,"Blackburn, Marsha",20351,113,2013,TN,7,0,2002,1,71,1,0,9,0,0,0,0,5041,0,0,1,0,1,0,0,0,0,0,6,240,130,200,"BLACKBURN, Marsha",B001243,1952,,0,0,0,0,0,27,0,0,0,0,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,28,1,0,1,0,1,1,2,0,,
8942,"Blumenauer, Earl",29588,113,2013,OR,3,1,1996,0,75,0,-1,5,0,0,0,0,5625,1,0,1,0,0,0,0,1,1,0,9,210,2,100,"BLUMENAUER, Earl",B000574,1948,,0,0,0,0,0,22,1,2,2,2,1,0,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,23,3,1,3,3,1,5,3,0,,
8943,"Boehner, John",29137,113,2013,OH,8,0,1990,0,100,1,0,16,1,0,0,0,10000,0,0,1,0,1,1,0,0,0,0,12,240,237,200,"BOEHNER, John Andrew",B000589,1949,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,1,0,,
8944,"Bonamici, Suzanne",21198,113,2013,OR,1,1,2012,1,60,0,0,5,0,0,0,0,3600,0,0,1,0,0,0,0,1,1,0,2,210,44,100,"BONAMICI, Suzanne",B001278,1954,,0,0,0,0,0,13,2,3,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2,3,0,0,2,3,0,,
8945,"Bonner, Jo",20300,113,2013,AL,1,0,2002,0,98,0,1,7,0,0,0,0,9604,1,0,0,0,1,0,0,0,0,0,6,240,236,200,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,1,0,,
8946,"Bordallo, Madeleine",,113,2013,GU,1,1,2002,1,58,,,1,0,0,0,0,3364,0,0,1,,0,0,0,,,0,6,210,39,,,B001245,,,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,8,0,4,4,0,1,2,3,1,,
8947,"Boustany, Charles",20514,113,2013,LA,3,0,2004,0,61,0,0,6,0,1,0,0,3721,1,0,0,0,1,0,0,0,0,0,5,240,102,200,"BOUSTANY, Charles W.",B001255,1956,,0,0,0,0,0,22,1,4,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,22,3,1,4,0,1,1,2,2,,
8948,"Brady, Robert",29777,113,2013,PA,1,1,1998,0,85,0,0,18,0,0,0,0,7225,0,0,0,0,0,0,0,1,1,0,8,210,191,100,"BRADY, Robert A.",B001227,1945,,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,1,0,1,0,,
8949,"Brady, Kevin",29760,113,2013,TX,8,0,1996,0,77,1,0,36,0,1,0,0,5929,1,0,1,0,1,0,0,0,0,0,9,240,128,200,"BRADY, Kevin Patrick",B000755,1955,,0,0,0,0,0,15,0,0,0,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,16,1,1,1,0,2,1,2,1,,
8950,"Braley, Bruce",20719,113,2013,IA,1,1,2006,0,57,0,0,4,0,0,0,0,3249,0,0,0,0,0,0,0,1,1,0,4,210,87,100,"BRALEY, Bruce",B001259,1957,,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,29,0,0,0,0,0,1,2,1,,
8951,"Brat, Dave",21553,113,2013,VA,7,0,2012,0,60,1,0,11,0,0,0,0,3600,0,0,0,0,1,0,0,1,0,1,1,240,240,200,"BRAT, David A.",B001290,1964,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,,,
8952,"Bridenstine, Jim",21354,113,2013,OK,1,0,2012,0,64,1,0,5,0,0,0,0,4096,0,0,0,0,1,0,0,0,0,1,1,240,180,200,"BRIDENSTINE, Jim",B001283,1975,,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,0,1,0,1,,,
8953,"Brooks, Mo",21193,113,2013,AL,5,0,2010,0,65,1,0,7,0,1,0,0,4225,0,0,1,0,1,0,0,0,0,0,2,240,192,200,"BROOKS, Mo",B001274,1954,,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1,1,0,1,0,1,0,,
8954,"Brooks, Susan",21331,113,2013,IN,5,0,2012,1,58,0,0,9,0,1,0,0,3364,0,0,0,0,1,0,0,0,0,1,1,240,112,200,"BROOKS, Susan",B001284,1960,,0,0,0,0,0,6,1,2,2,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,6,2,1,2,1,1,1,2,,,
8955,"Broun, Paul",20753,113,2013,GA,10,0,2007,0,100,1,0,14,0,1,0,0,10000,0,0,0,0,1,0,0,1,0,0,4,240,113,200,"BROUN, Paul C., Jr.",B001262,1946,,0,0,0,0,0,12,0,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,13,2,1,2,0,1,1,2,0,,
